Animal,Age,Temperature,Symptom 1,Symptom 2,Symptom 3,Disease
sheep,6,102.9,lameness,swelling in muscle,loss of appetite,blackleg
cow,13,102.5,swelling in limb,loss of appetite,crackling sound,blackleg
goat,8,103.3,loss of appetite,difficulty walking,sores on gums,foot and mouth
sheep,5,100.8,sores on gums,difficulty walking,loss of appetite,foot and mouth
cow,4,101.8,chest discomfort,chills,swelling in abdomen,anthrax
cow,4,101.2,blisters on mouth,loss of appetite,lameness,foot and mouth
goat,1,104.2,depression,painless lumps,loss of appetite,lumpy virus
cow,8,100.8,depression,painless lumps,loss of appetite,lumpy virus
cow,2,101.1,depression,crackling sound,swelling in muscle,blackleg
goat,8,102.3,depression,loss of appetite,painless lumps,lumpy virus
buffalo,8,101.8,shortness of breath,sweats,swelling in abdomen,anthrax
cow,14,102.5,chills,swelling in extremities,shortness of breath,anthrax
buffalo,2,104.6,lameness,depression,loss of appetite,blackleg
cow,1,103.4,depression,painless lumps,loss of appetite,lumpy virus
goat,7,102.6,lameness,swelling in limb,loss of appetite,blackleg
cow,12,100.1,loss of appetite,painless lumps,depression,lumpy virus
cow,3,100.3,crackling sound,depression,lameness,blackleg
buffalo,4,103.4,sweats,chills,chest discomfort,anthrax
buffalo,14,101.5,painless lumps,loss of appetite,depression,lumpy virus
goat,1,101.2,sweats,chills,chest discomfort,anthrax
buffalo,3,103.9,depression,shortness of breath,loss of appetite,pneumonia
cow,6,100.4,painless lumps,depression,loss of appetite,lumpy virus
buffalo,11,101.1,loss of appetite,depression,painless lumps,lumpy virus
buffalo,6,104.5,blisters on hooves,lameness,loss of appetite,foot and mouth
cow,12,104.6,sores on hooves,difficulty walking,loss of appetite,foot and mouth
goat,8,100.1,loss of appetite,sores on gums,lameness,foot and mouth
sheep,9,103.1,depression,painless lumps,loss of appetite,lumpy virus
sheep,5,102.2,shortness of breath,chills,sweats,anthrax
goat,7,101.6,sweats,chest discomfort,chills,anthrax
goat,10,102.3,crackling sound,depression,shortness of breath,pneumonia
sheep,7,101.4,painless lumps,depression,loss of appetite,lumpy virus
cow,6,102.1,swelling in limb,depression,difficulty walking,blackleg
goat,4,101.4,depression,painless lumps,loss of appetite,lumpy virus
goat,10,100.4,depression,cough,shortness of breath,pneumonia
sheep,10,104.7,depression,loss of appetite,crackling sound,pneumonia
cow,14,102.8,shortness of breath,depression,cough,pneumonia
buffalo,12,104.8,depression,shortness of breath,nasal discharge,pneumonia
sheep,5,102.8,sweats,swelling in abdomen,fatigue,anthrax
cow,5,101.4,depression,loss of appetite,painless lumps,lumpy virus
cow,12,104.6,crackling sound,nasal discharge,depression,pneumonia
goat,5,103.8,crackling sound,depression,lameness,blackleg
sheep,10,102.4,loss of appetite,cough,depression,pneumonia
sheep,4,100.5,loss of appetite,painless lumps,depression,lumpy virus
cow,1,102.7,loss of appetite,lameness,blisters on tongue,foot and mouth
cow,1,104.5,lameness,depression,swelling in muscle,blackleg
goat,8,100.5,chest discomfort,cough,loss of appetite,pneumonia
cow,15,100.1,chills,chest discomfort,shortness of breath,anthrax
buffalo,6,103.5,loss of appetite,lameness,blisters on tongue,foot and mouth
cow,14,102.1,loss of appetite,cough,crackling sound,pneumonia
sheep,5,103.2,blisters on gums,loss of appetite,lameness,foot and mouth
buffalo,12,103.3,loss of appetite,painless lumps,depression,lumpy virus
cow,13,102.6,difficulty walking,blisters on hooves,loss of appetite,foot and mouth
cow,14,101.2,chest discomfort,depression,cough,pneumonia
buffalo,5,100.4,difficulty walking,blisters on gums,loss of appetite,foot and mouth
buffalo,6,102.3,loss of appetite,painless lumps,depression,lumpy virus
buffalo,14,102.2,chills,chest discomfort,fatigue,anthrax
cow,15,102.0,depression,painless lumps,loss of appetite,lumpy virus
cow,6,101.8,difficulty walking,sores on tongue,loss of appetite,foot and mouth
goat,4,103.1,loss of appetite,difficulty walking,blisters on hooves,foot and mouth
goat,4,102.8,crackling sound,nasal discharge,depression,pneumonia
cow,8,100.7,painless lumps,loss of appetite,depression,lumpy virus
sheep,10,104.7,chills,fatigue,sweats,anthrax
cow,11,102.4,swelling in muscle,loss of appetite,crackling sound,blackleg
goat,2,103.9,chest discomfort,swelling in extremities,chills,anthrax
buffalo,2,100.6,shortness of breath,fatigue,sweats,anthrax
cow,8,103.0,loss of appetite,swelling in muscle,crackling sound,blackleg
buffalo,9,102.4,shortness of breath,loss of appetite,cough,pneumonia
sheep,7,104.7,crackling sound,chest discomfort,shortness of breath,pneumonia
cow,3,104.7,loss of appetite,blisters on hooves,difficulty walking,foot and mouth
sheep,8,102.9,fatigue,swelling in neck,chest discomfort,anthrax
buffalo,5,102.8,cough,chest discomfort,nasal discharge,pneumonia
sheep,5,101.3,loss of appetite,difficulty walking,sores on mouth,foot and mouth
cow,15,102.8,painless lumps,loss of appetite,depression,lumpy virus
sheep,6,103.9,sweats,chills,shortness of breath,anthrax
sheep,2,100.5,sweats,chest discomfort,swelling in extremities,anthrax
buffalo,6,101.3,chills,shortness of breath,swelling in abdomen,anthrax
cow,11,102.9,swelling in muscle,lameness,loss of appetite,blackleg
buffalo,7,102.3,depression,loss of appetite,painless lumps,lumpy virus
buffalo,4,100.3,chills,sweats,chest discomfort,anthrax
buffalo,9,104.4,chest discomfort,shortness of breath,chills,anthrax
cow,7,100.9,loss of appetite,depression,cough,pneumonia
buffalo,13,103.2,loss of appetite,depression,painless lumps,lumpy virus
cow,1,102.0,loss of appetite,lameness,blisters on mouth,foot and mouth
goat,3,101.2,crackling sound,difficulty walking,loss of appetite,blackleg
sheep,4,104.0,sores on gums,difficulty walking,loss of appetite,foot and mouth
cow,5,103.1,cough,depression,chest discomfort,pneumonia
goat,10,101.4,chest discomfort,loss of appetite,nasal discharge,pneumonia
cow,2,100.4,loss of appetite,sores on tongue,lameness,foot and mouth
buffalo,7,100.4,lameness,sores on gums,loss of appetite,foot and mouth
sheep,10,101.9,difficulty walking,blisters on tongue,loss of appetite,foot and mouth
buffalo,8,104.8,crackling sound,depression,loss of appetite,blackleg
goat,1,101.7,chest discomfort,depression,shortness of breath,pneumonia
sheep,1,104.4,painless lumps,depression,loss of appetite,lumpy virus
buffalo,5,104.5,loss of appetite,lameness,blisters on tongue,foot and mouth
buffalo,8,100.3,nasal discharge,chest discomfort,loss of appetite,pneumonia
buffalo,3,102.8,chills,swelling in extremities,chest discomfort,anthrax
buffalo,10,101.0,lameness,loss of appetite,depression,blackleg
sheep,6,101.6,fatigue,chills,swelling in neck,anthrax
goat,3,102.6,blisters on hooves,loss of appetite,difficulty walking,foot and mouth
sheep,10,101.6,nasal discharge,shortness of breath,loss of appetite,pneumonia
sheep,9,102.0,loss of appetite,depression,painless lumps,lumpy virus
cow,13,104.4,swelling in abdomen,chills,sweats,anthrax
goat,10,101.9,sores on gums,loss of appetite,lameness,foot and mouth
goat,8,102.7,loss of appetite,lameness,sores on tongue,foot and mouth
sheep,7,101.6,swelling in neck,chills,sweats,anthrax
buffalo,13,102.7,crackling sound,shortness of breath,depression,pneumonia
cow,15,101.0,blisters on hooves,difficulty walking,loss of appetite,foot and mouth
goat,1,104.4,depression,loss of appetite,painless lumps,lumpy virus
cow,2,100.3,fatigue,chills,chest discomfort,anthrax
cow,15,102.9,chills,shortness of breath,chest discomfort,anthrax
buffalo,1,102.1,loss of appetite,painless lumps,depression,lumpy virus
buffalo,9,104.1,nasal discharge,shortness of breath,chest discomfort,pneumonia
sheep,7,100.1,shortness of breath,cough,nasal discharge,pneumonia
goat,2,104.2,shortness of breath,fatigue,chest discomfort,anthrax
goat,5,100.6,shortness of breath,chills,swelling in extremities,anthrax
sheep,5,101.3,chills,chest discomfort,fatigue,anthrax
cow,12,103.4,depression,painless lumps,loss of appetite,lumpy virus
cow,8,102.8,loss of appetite,depression,crackling sound,blackleg
cow,11,101.3,depression,crackling sound,loss of appetite,blackleg
buffalo,13,100.5,sweats,chest discomfort,shortness of breath,anthrax
buffalo,2,102.8,difficulty walking,loss of appetite,blisters on hooves,foot and mouth
cow,10,103.5,loss of appetite,depression,painless lumps,lumpy virus
cow,4,104.7,loss of appetite,swelling in limb,crackling sound,blackleg
sheep,1,102.8,lameness,sores on gums,loss of appetite,foot and mouth
sheep,4,103.8,blisters on tongue,loss of appetite,difficulty walking,foot and mouth
buffalo,5,100.6,difficulty walking,loss of appetite,sores on tongue,foot and mouth
goat,3,102.2,depression,crackling sound,loss of appetite,blackleg
goat,4,102.8,crackling sound,depression,loss of appetite,blackleg
sheep,1,103.4,shortness of breath,cough,depression,pneumonia
cow,7,103.4,loss of appetite,difficulty walking,swelling in muscle,blackleg
cow,15,101.1,sweats,chest discomfort,fatigue,anthrax
goat,9,100.7,loss of appetite,depression,painless lumps,lumpy virus
cow,14,102.7,crackling sound,loss of appetite,depression,blackleg
sheep,8,100.8,lameness,swelling in muscle,crackling sound,blackleg
cow,13,101.9,depression,cough,chest discomfort,pneumonia
buffalo,1,102.2,chest discomfort,chills,swelling in abdomen,anthrax
sheep,2,100.4,depression,loss of appetite,painless lumps,lumpy virus
goat,10,101.7,cough,loss of appetite,chest discomfort,pneumonia
goat,6,104.5,difficulty walking,loss of appetite,sores on mouth,foot and mouth
cow,10,101.7,depression,painless lumps,loss of appetite,lumpy virus
buffalo,14,102.4,loss of appetite,cough,crackling sound,pneumonia
goat,6,104.4,crackling sound,loss of appetite,chest discomfort,pneumonia
buffalo,11,101.5,lameness,sores on hooves,loss of appetite,foot and mouth
buffalo,9,102.1,blisters on hooves,difficulty walking,loss of appetite,foot and mouth
goat,7,100.9,loss of appetite,sores on gums,lameness,foot and mouth
sheep,4,100.4,loss of appetite,depression,painless lumps,lumpy virus
buffalo,6,100.2,painless lumps,loss of appetite,depression,lumpy virus
buffalo,4,100.7,loss of appetite,painless lumps,depression,lumpy virus
sheep,5,103.0,cough,crackling sound,depression,pneumonia
sheep,3,101.2,difficulty walking,loss of appetite,depression,blackleg
sheep,1,104.4,loss of appetite,blisters on hooves,lameness,foot and mouth
buffalo,1,103.1,swelling in muscle,crackling sound,lameness,blackleg
cow,9,102.0,shortness of breath,loss of appetite,depression,pneumonia
cow,8,104.9,loss of appetite,depression,painless lumps,lumpy virus
buffalo,8,104.3,chills,chest discomfort,fatigue,anthrax
buffalo,11,100.1,sweats,shortness of breath,fatigue,anthrax
goat,3,100.6,loss of appetite,depression,difficulty walking,blackleg
sheep,2,101.0,loss of appetite,depression,painless lumps,lumpy virus
cow,13,103.7,depression,cough,loss of appetite,pneumonia
cow,15,104.8,depression,loss of appetite,crackling sound,blackleg
goat,7,104.3,lameness,sores on tongue,loss of appetite,foot and mouth
goat,3,101.5,loss of appetite,painless lumps,depression,lumpy virus
cow,10,101.1,depression,difficulty walking,loss of appetite,blackleg
sheep,9,101.2,swelling in limb,crackling sound,loss of appetite,blackleg
cow,12,102.5,chest discomfort,shortness of breath,depression,pneumonia
sheep,7,101.9,loss of appetite,chest discomfort,nasal discharge,pneumonia
sheep,9,102.2,painless lumps,depression,loss of appetite,lumpy virus
goat,9,102.3,painless lumps,loss of appetite,depression,lumpy virus
sheep,9,102.5,shortness of breath,chills,swelling in abdomen,anthrax
sheep,7,100.5,swelling in limb,loss of appetite,lameness,blackleg
buffalo,14,102.3,sores on gums,lameness,loss of appetite,foot and mouth
cow,9,102.4,chills,chest discomfort,fatigue,anthrax
sheep,6,102.3,chest discomfort,swelling in extremities,chills,anthrax
goat,8,100.7,chills,sweats,chest discomfort,anthrax
cow,9,100.1,fatigue,swelling in abdomen,sweats,anthrax
goat,4,104.0,lameness,crackling sound,depression,blackleg
cow,4,102.5,loss of appetite,sores on gums,lameness,foot and mouth
sheep,10,104.9,blisters on mouth,difficulty walking,loss of appetite,foot and mouth
goat,7,102.6,depression,loss of appetite,crackling sound,blackleg
goat,7,100.7,chills,sweats,shortness of breath,anthrax
cow,9,101.7,painless lumps,depression,loss of appetite,lumpy virus
sheep,3,102.8,blisters on tongue,difficulty walking,loss of appetite,foot and mouth
cow,5,101.6,chest discomfort,fatigue,swelling in abdomen,anthrax
cow,12,100.0,sores on hooves,difficulty walking,loss of appetite,foot and mouth
buffalo,7,104.9,blisters on hooves,lameness,loss of appetite,foot and mouth
buffalo,13,101.1,chest discomfort,nasal discharge,crackling sound,pneumonia
sheep,6,102.4,loss of appetite,sores on tongue,lameness,foot and mouth
cow,5,100.2,blisters on gums,loss of appetite,difficulty walking,foot and mouth
buffalo,9,103.3,difficulty walking,depression,loss of appetite,blackleg
buffalo,9,102.4,chest discomfort,cough,crackling sound,pneumonia
sheep,4,104.6,difficulty walking,loss of appetite,sores on gums,foot and mouth
buffalo,2,100.5,shortness of breath,loss of appetite,crackling sound,pneumonia
sheep,6,101.1,sweats,chest discomfort,fatigue,anthrax
goat,5,101.9,fatigue,chills,shortness of breath,anthrax
buffalo,9,104.5,chest discomfort,nasal discharge,crackling sound,pneumonia
cow,10,104.2,loss of appetite,painless lumps,depression,lumpy virus
goat,10,104.3,sweats,swelling in extremities,chest discomfort,anthrax
cow,14,102.6,loss of appetite,lameness,swelling in limb,blackleg
sheep,1,101.7,loss of appetite,painless lumps,depression,lumpy virus
buffalo,11,103.0,loss of appetite,depression,painless lumps,lumpy virus
sheep,10,102.0,loss of appetite,lameness,swelling in limb,blackleg
goat,2,100.5,blisters on gums,loss of appetite,lameness,foot and mouth
goat,7,100.6,depression,loss of appetite,painless lumps,lumpy virus
goat,2,101.8,swelling in limb,loss of appetite,depression,blackleg
goat,9,100.5,sores on mouth,loss of appetite,difficulty walking,foot and mouth
buffalo,11,103.7,difficulty walking,depression,loss of appetite,blackleg
cow,2,102.9,difficulty walking,loss of appetite,sores on gums,foot and mouth
goat,4,100.5,crackling sound,swelling in muscle,lameness,blackleg
buffalo,11,103.5,sores on mouth,loss of appetite,lameness,foot and mouth
cow,12,102.5,swelling in limb,crackling sound,loss of appetite,blackleg
goat,9,102.8,shortness of breath,chills,sweats,anthrax
sheep,7,101.8,loss of appetite,lameness,blisters on hooves,foot and mouth
sheep,1,101.2,fatigue,chest discomfort,swelling in abdomen,anthrax
buffalo,1,103.5,lameness,blisters on gums,loss of appetite,foot and mouth
cow,6,102.4,difficulty walking,loss of appetite,depression,blackleg
buffalo,1,103.9,chest discomfort,swelling in neck,sweats,anthrax
buffalo,4,103.4,loss of appetite,lameness,blisters on mouth,foot and mouth
sheep,1,103.8,loss of appetite,difficulty walking,sores on tongue,foot and mouth
cow,4,100.0,crackling sound,swelling in limb,loss of appetite,blackleg
buffalo,4,102.9,difficulty walking,depression,crackling sound,blackleg
sheep,3,102.3,chest discomfort,nasal discharge,loss of appetite,pneumonia
cow,15,101.1,lameness,loss of appetite,blisters on tongue,foot and mouth
buffalo,11,102.1,sweats,shortness of breath,chills,anthrax
sheep,1,101.1,chills,chest discomfort,shortness of breath,anthrax
goat,9,102.5,crackling sound,cough,chest discomfort,pneumonia
goat,5,103.5,depression,swelling in muscle,crackling sound,blackleg
cow,8,100.7,cough,loss of appetite,nasal discharge,pneumonia
buffalo,7,104.8,loss of appetite,difficulty walking,blisters on gums,foot and mouth
buffalo,6,101.0,difficulty walking,crackling sound,loss of appetite,blackleg
sheep,4,100.7,loss of appetite,crackling sound,chest discomfort,pneumonia
cow,12,100.9,chest discomfort,sweats,swelling in neck,anthrax
buffalo,12,102.0,shortness of breath,crackling sound,cough,pneumonia
sheep,8,102.9,depression,painless lumps,loss of appetite,lumpy virus
cow,13,102.3,swelling in limb,loss of appetite,depression,blackleg
goat,10,104.0,loss of appetite,depression,difficulty walking,blackleg
goat,10,102.1,crackling sound,cough,depression,pneumonia
sheep,7,100.6,loss of appetite,lameness,sores on gums,foot and mouth
cow,13,100.8,crackling sound,loss of appetite,difficulty walking,blackleg
sheep,1,103.8,loss of appetite,difficulty walking,blisters on mouth,foot and mouth
buffalo,3,101.8,blisters on hooves,loss of appetite,difficulty walking,foot and mouth
cow,9,104.1,crackling sound,depression,difficulty walking,blackleg
sheep,1,103.2,loss of appetite,blisters on tongue,lameness,foot and mouth
buffalo,13,102.4,chills,sweats,fatigue,anthrax
sheep,1,102.4,difficulty walking,loss of appetite,sores on mouth,foot and mouth
sheep,7,102.6,crackling sound,depression,swelling in limb,blackleg
buffalo,4,100.2,lameness,sores on gums,loss of appetite,foot and mouth
sheep,3,100.5,loss of appetite,swelling in limb,crackling sound,blackleg
cow,1,100.1,depression,painless lumps,loss of appetite,lumpy virus
buffalo,15,100.8,lameness,loss of appetite,blisters on hooves,foot and mouth
goat,8,104.0,loss of appetite,crackling sound,shortness of breath,pneumonia
goat,3,104.4,shortness of breath,chest discomfort,loss of appetite,pneumonia
buffalo,5,102.2,shortness of breath,depression,chest discomfort,pneumonia
goat,2,101.7,loss of appetite,depression,swelling in muscle,blackleg
cow,13,102.8,crackling sound,lameness,swelling in limb,blackleg
sheep,6,104.5,cough,loss of appetite,nasal discharge,pneumonia
cow,11,102.9,cough,loss of appetite,shortness of breath,pneumonia
sheep,2,104.0,depression,loss of appetite,painless lumps,lumpy virus
sheep,7,101.9,depression,chest discomfort,nasal discharge,pneumonia
buffalo,8,100.6,depression,swelling in limb,loss of appetite,blackleg
sheep,5,102.8,shortness of breath,nasal discharge,cough,pneumonia
sheep,6,102.5,fatigue,swelling in abdomen,sweats,anthrax
cow,4,103.0,crackling sound,shortness of breath,loss of appetite,pneumonia
cow,1,103.7,loss of appetite,depression,lameness,blackleg
sheep,10,102.5,shortness of breath,chills,sweats,anthrax
goat,10,101.7,loss of appetite,sores on hooves,lameness,foot and mouth
goat,6,104.0,swelling in muscle,depression,loss of appetite,blackleg
cow,10,102.3,swelling in limb,loss of appetite,crackling sound,blackleg
buffalo,12,102.2,crackling sound,chest discomfort,cough,pneumonia
cow,15,103.4,nasal discharge,crackling sound,loss of appetite,pneumonia
sheep,1,100.8,loss of appetite,difficulty walking,depression,blackleg
buffalo,6,100.3,depression,loss of appetite,painless lumps,lumpy virus
cow,8,103.3,swelling in muscle,crackling sound,loss of appetite,blackleg
sheep,1,102.1,cough,loss of appetite,depression,pneumonia
cow,9,100.3,chest discomfort,depression,loss of appetite,pneumonia
cow,9,102.6,lameness,sores on hooves,loss of appetite,foot and mouth
cow,15,104.9,crackling sound,nasal discharge,loss of appetite,pneumonia
goat,7,102.4,loss of appetite,crackling sound,depression,blackleg
sheep,1,101.5,shortness of breath,swelling in neck,sweats,anthrax
goat,5,101.2,fatigue,chills,shortness of breath,anthrax
cow,14,102.6,depression,difficulty walking,crackling sound,blackleg
sheep,5,104.1,fatigue,sweats,chest discomfort,anthrax
cow,5,100.7,crackling sound,swelling in limb,loss of appetite,blackleg
sheep,5,101.6,loss of appetite,difficulty walking,sores on tongue,foot and mouth
buffalo,2,102.5,cough,loss of appetite,crackling sound,pneumonia
buffalo,13,100.1,crackling sound,swelling in limb,loss of appetite,blackleg
goat,6,102.0,shortness of breath,fatigue,swelling in abdomen,anthrax
goat,7,103.8,difficulty walking,loss of appetite,sores on gums,foot and mouth
goat,5,100.5,crackling sound,lameness,depression,blackleg
goat,10,104.9,loss of appetite,sores on tongue,difficulty walking,foot and mouth
cow,5,102.2,loss of appetite,painless lumps,depression,lumpy virus
buffalo,6,102.8,depression,loss of appetite,painless lumps,lumpy virus
sheep,8,103.0,depression,loss of appetite,painless lumps,lumpy virus
cow,4,101.3,shortness of breath,crackling sound,loss of appetite,pneumonia
buffalo,13,100.8,chills,swelling in abdomen,shortness of breath,anthrax
cow,7,101.9,depression,painless lumps,loss of appetite,lumpy virus
cow,5,100.6,difficulty walking,loss of appetite,blisters on gums,foot and mouth
cow,3,102.3,swelling in extremities,fatigue,chest discomfort,anthrax
buffalo,12,100.8,loss of appetite,sores on tongue,difficulty walking,foot and mouth
goat,9,101.7,shortness of breath,fatigue,sweats,anthrax
sheep,7,101.1,crackling sound,difficulty walking,loss of appetite,blackleg
buffalo,9,100.1,difficulty walking,blisters on hooves,loss of appetite,foot and mouth
goat,3,104.4,depression,swelling in muscle,difficulty walking,blackleg
buffalo,5,103.5,crackling sound,cough,depression,pneumonia
goat,9,102.0,swelling in limb,loss of appetite,depression,blackleg
goat,6,100.4,sores on gums,loss of appetite,difficulty walking,foot and mouth
buffalo,11,103.1,loss of appetite,difficulty walking,depression,blackleg
sheep,7,101.4,crackling sound,cough,chest discomfort,pneumonia
cow,6,101.2,loss of appetite,depression,painless lumps,lumpy virus
sheep,6,102.4,blisters on hooves,difficulty walking,loss of appetite,foot and mouth
cow,6,104.6,sweats,chills,chest discomfort,anthrax
buffalo,7,100.6,crackling sound,depression,shortness of breath,pneumonia
goat,2,103.9,nasal discharge,cough,depression,pneumonia
sheep,3,102.2,loss of appetite,shortness of breath,nasal discharge,pneumonia
goat,3,103.4,depression,painless lumps,loss of appetite,lumpy virus
cow,13,101.3,crackling sound,depression,difficulty walking,blackleg
cow,6,103.6,depression,painless lumps,loss of appetite,lumpy virus
cow,6,102.1,loss of appetite,nasal discharge,chest discomfort,pneumonia
goat,4,104.2,loss of appetite,painless lumps,depression,lumpy virus
cow,7,103.9,nasal discharge,shortness of breath,cough,pneumonia
cow,6,100.0,depression,loss of appetite,painless lumps,lumpy virus
sheep,3,100.4,fatigue,sweats,chest discomfort,anthrax
sheep,10,102.6,depression,crackling sound,loss of appetite,blackleg
sheep,6,100.6,depression,loss of appetite,painless lumps,lumpy virus
sheep,1,100.8,fatigue,shortness of breath,swelling in abdomen,anthrax
sheep,7,104.6,chest discomfort,fatigue,shortness of breath,anthrax
sheep,4,104.4,loss of appetite,sores on mouth,lameness,foot and mouth
goat,8,103.7,depression,swelling in muscle,crackling sound,blackleg
sheep,5,102.9,chills,fatigue,sweats,anthrax
sheep,10,100.1,depression,painless lumps,loss of appetite,lumpy virus
sheep,6,102.5,depression,painless lumps,loss of appetite,lumpy virus
goat,9,103.3,loss of appetite,painless lumps,depression,lumpy virus
cow,3,102.1,fatigue,chest discomfort,shortness of breath,anthrax
buffalo,7,100.3,swelling in neck,shortness of breath,fatigue,anthrax
buffalo,7,103.0,depression,crackling sound,nasal discharge,pneumonia
buffalo,2,102.0,loss of appetite,crackling sound,swelling in muscle,blackleg
sheep,3,105.0,swelling in abdomen,chest discomfort,sweats,anthrax
buffalo,2,101.7,loss of appetite,lameness,blisters on hooves,foot and mouth
buffalo,13,104.8,difficulty walking,loss of appetite,sores on hooves,foot and mouth
cow,15,101.7,cough,shortness of breath,depression,pneumonia
sheep,8,100.7,depression,crackling sound,loss of appetite,blackleg
buffalo,5,104.0,shortness of breath,chest discomfort,fatigue,anthrax
buffalo,6,101.5,loss of appetite,sores on tongue,difficulty walking,foot and mouth
cow,1,100.2,sores on tongue,lameness,loss of appetite,foot and mouth
sheep,5,103.6,sores on gums,lameness,loss of appetite,foot and mouth
goat,1,101.3,depression,loss of appetite,crackling sound,pneumonia
cow,4,100.3,swelling in neck,sweats,shortness of breath,anthrax
sheep,1,103.0,shortness of breath,crackling sound,chest discomfort,pneumonia
sheep,4,104.3,crackling sound,loss of appetite,difficulty walking,blackleg
sheep,8,103.9,loss of appetite,painless lumps,depression,lumpy virus
goat,9,102.5,cough,loss of appetite,chest discomfort,pneumonia
cow,6,100.7,loss of appetite,sores on gums,difficulty walking,foot and mouth
cow,10,101.1,swelling in abdomen,shortness of breath,sweats,anthrax
goat,2,100.5,crackling sound,lameness,loss of appetite,blackleg
buffalo,7,100.9,sores on tongue,loss of appetite,difficulty walking,foot and mouth
sheep,5,100.9,chest discomfort,swelling in abdomen,shortness of breath,anthrax
sheep,8,103.3,painless lumps,loss of appetite,depression,lumpy virus
cow,6,105.0,chest discomfort,sweats,fatigue,anthrax
sheep,1,100.3,chest discomfort,crackling sound,nasal discharge,pneumonia
sheep,7,100.5,lameness,swelling in muscle,depression,blackleg
buffalo,7,101.7,nasal discharge,loss of appetite,cough,pneumonia
goat,8,101.7,crackling sound,loss of appetite,difficulty walking,blackleg
sheep,8,103.9,painless lumps,loss of appetite,depression,lumpy virus
buffalo,14,105.0,loss of appetite,difficulty walking,swelling in limb,blackleg
buffalo,8,100.5,crackling sound,swelling in limb,depression,blackleg
cow,15,102.5,nasal discharge,cough,chest discomfort,pneumonia
buffalo,15,102.2,loss of appetite,painless lumps,depression,lumpy virus
buffalo,11,104.4,painless lumps,loss of appetite,depression,lumpy virus
goat,7,103.1,loss of appetite,difficulty walking,crackling sound,blackleg
buffalo,1,101.3,depression,crackling sound,nasal discharge,pneumonia
buffalo,14,100.7,sores on mouth,loss of appetite,lameness,foot and mouth
cow,2,103.3,shortness of breath,crackling sound,cough,pneumonia
goat,3,101.0,lameness,loss of appetite,blisters on tongue,foot and mouth
cow,13,104.5,lameness,loss of appetite,crackling sound,blackleg
sheep,9,100.2,chest discomfort,cough,shortness of breath,pneumonia
cow,15,102.5,lameness,crackling sound,depression,blackleg
sheep,6,104.4,loss of appetite,difficulty walking,sores on hooves,foot and mouth
sheep,9,103.7,crackling sound,swelling in muscle,depression,blackleg
buffalo,15,101.8,chills,swelling in abdomen,chest discomfort,anthrax
cow,4,105.0,swelling in extremities,shortness of breath,chills,anthrax
sheep,3,100.9,loss of appetite,depression,swelling in muscle,blackleg
cow,12,104.6,chest discomfort,chills,sweats,anthrax
cow,14,102.1,loss of appetite,blisters on mouth,difficulty walking,foot and mouth
buffalo,11,101.7,swelling in muscle,loss of appetite,difficulty walking,blackleg
buffalo,3,101.3,blisters on tongue,loss of appetite,lameness,foot and mouth
cow,4,102.0,blisters on mouth,loss of appetite,difficulty walking,foot and mouth
goat,3,103.4,painless lumps,depression,loss of appetite,lumpy virus
cow,5,101.9,nasal discharge,shortness of breath,chest discomfort,pneumonia
buffalo,1,102.3,crackling sound,depression,chest discomfort,pneumonia
goat,5,102.0,shortness of breath,sweats,chest discomfort,anthrax
buffalo,13,104.7,loss of appetite,depression,painless lumps,lumpy virus
sheep,8,101.2,depression,crackling sound,lameness,blackleg
cow,7,101.1,sweats,chest discomfort,chills,anthrax
sheep,10,100.2,crackling sound,depression,shortness of breath,pneumonia
cow,1,103.4,loss of appetite,nasal discharge,chest discomfort,pneumonia
goat,6,101.0,lameness,sores on hooves,loss of appetite,foot and mouth
cow,12,103.7,shortness of breath,chills,swelling in extremities,anthrax
goat,9,103.5,swelling in limb,depression,loss of appetite,blackleg
goat,6,101.2,chest discomfort,crackling sound,depression,pneumonia
cow,1,102.6,shortness of breath,chills,sweats,anthrax
goat,5,100.8,sores on hooves,difficulty walking,loss of appetite,foot and mouth
goat,9,102.8,loss of appetite,blisters on gums,difficulty walking,foot and mouth
goat,8,101.1,chest discomfort,nasal discharge,depression,pneumonia
sheep,3,102.0,depression,loss of appetite,painless lumps,lumpy virus
goat,9,101.1,painless lumps,loss of appetite,depression,lumpy virus
cow,7,101.0,loss of appetite,blisters on gums,lameness,foot and mouth
cow,10,101.8,chest discomfort,shortness of breath,nasal discharge,pneumonia
buffalo,8,102.0,swelling in muscle,loss of appetite,lameness,blackleg
goat,10,103.2,swelling in limb,crackling sound,depression,blackleg
cow,12,102.2,loss of appetite,sores on gums,lameness,foot and mouth
buffalo,2,100.4,shortness of breath,sweats,chills,anthrax
goat,10,103.7,loss of appetite,depression,painless lumps,lumpy virus
cow,4,102.8,sweats,fatigue,shortness of breath,anthrax
cow,15,101.2,chest discomfort,shortness of breath,chills,anthrax
cow,15,104.3,depression,loss of appetite,crackling sound,blackleg
cow,6,103.9,blisters on mouth,loss of appetite,difficulty walking,foot and mouth
sheep,2,100.8,loss of appetite,lameness,crackling sound,blackleg
cow,7,104.0,crackling sound,shortness of breath,cough,pneumonia
goat,2,100.7,chest discomfort,chills,sweats,anthrax
buffalo,9,102.7,crackling sound,loss of appetite,swelling in muscle,blackleg
cow,8,101.3,fatigue,swelling in abdomen,sweats,anthrax
